timeCondition,subj_idx,ID,hourDiff21,hourDiff32,manipHor,manipVer
1day,0,02011193884fc301ef2554a008,24.7,24.0667,-1,1
1day,1,0531ca77ffd9fd210751e4fd17,24.0167,28.6,-1,1
1day,2,0b37174a8f3a5e2e5f0c9e6ddf,24.0167,24.3667,-1,-1
1day,3,10bc11acc529e3dc570af84d92,24.0167,24.7333,1,1
1day,4,1300bee90d06e8912b4ad7ad55,24.1167,26.4333,-1,1
1day,5,185a59d1b2c7d5f4a18767f979,26.3833,42.2833,1,1
1day,6,1af23f163f0da0ecbf7bee90d1,24.5,24.9667,-1,1
1day,7,1d58b6554c1094125e6f941da7,24.0833,26.4167,-1,1
1day,8,1d7b6cce104b35f7b9e54c66a2,24.15,24.0333,-1,-1
1day,9,1e0401e1458bf82a699e9aab7b,25.0833,24.1833,1,-1
1day,10,203d778d75269b6b3df489db3d,24.7,25.0167,1,-1
1day,11,22f43739ee8fed5ff4a7b78433,25.35,25.1833,-1,1
1day,12,2588666ac23e1b31b0e42ff67e,24.0167,24,-1,1
1day,13,268f58d9f796ec8bf5f5c5eaaa,24.2167,24.0333,-1,-1
1day,14,2b6135e1418de546b3d98fe37e,24.1,24.0333,-1,1
1day,15,309ec6283c2722d449721375f0,25.8333,24.5,1,-1
1day,16,3c32f93462bea8523550328b6a,24.95,24.1,-1,-1
1day,17,40c9f62ed006ac2db68342a85e,24.4333,24.0833,1,1
1day,18,4180b4cbb8f0a6912c7acf326d,24.1167,24.3167,1,-1
1day,19,4596cdef0ac31fb7820871de19,24.0667,24,-1,1
1day,20,49a2a37140889ab20eff10ad09,25.2333,24.1167,-1,-1
1day,21,49a55d28c3961779c54234f08c,24.8167,24.6167,1,1
1day,22,4ad8e172c2efedfde91718903f,24.0167,26.5167,1,1
1day,23,50dfbf599b8003e7de886fd380,31.0167,28.3,-1,1
1day,24,57f0fe056215b3efd7811665c4,32.4333,34.15,-1,1
1day,25,5bf011ceaa45b5b2d358593281,24.6167,24.9667,1,1
1day,26,5fe3c40d3ba77f17e6f312d52c,24,24,1,-1
1day,27,62e137c774c659e791e6512adc,26.8167,40.2667,1,1
1day,28,63d2959df7c0491820a9773054,24.2,24.0667,1,1
1day,29,7074ee7c6e6a83b055066b09e7,29.4333,26.65,1,-1
1day,30,7208b7ed76fbc7dd5420063064,40.4333,38.45,1,1
1day,31,732e4ccd9a1103f35bd4fd408d,25.1833,24.1,-1,1
1day,32,7a89f4f9f404fb74bf580623fd,24,24.0667,-1,1
1day,33,7e43f7eff57f97db3bbf560778,24.6333,25.8167,1,-1
1day,34,81a72f2793e1584cbda497634d,24.0833,54.25,-1,-1
1day,35,864dc7685b586930725dca112b,30.2167,49.3667,1,-1
1day,36,8c65218be841320eee0f4f1964,24.2667,24.0833,-1,-1
1day,37,8e9f64a7b295eb01ab661f0c2c,38.05,24.7167,1,-1
1day,38,8ff15a6421b4c1261c78db0626,24,27.0667,1,-1
1day,39,9119293e354bd49df513f8eafd,24.25,24.05,1,1
1day,40,932a3747d87caf3037ef978df0,32.35,46.5,1,1
1day,41,93704b44fa49e124fbd74dc2b3,27.7,46.8167,1,-1
1day,42,971f9f726029fe1397be9a9520,29.3667,25.05,1,-1
1day,43,999705746adca5a78ec7d1e3e7,24.1833,24.3667,1,1
1day,44,a0c014f8555cc29f6263885a8c,24.4167,24.5333,-1,-1
1day,45,a540a757f60c953d96dddf6bef,29.15,25.6167,1,-1
1day,46,a5539e5dfdf51881fc9c17671c,26.3667,43.1167,-1,1
1day,47,a5d072a22fc34b7aa48c02a72e,24.0167,24.4833,-1,1
1day,48,aafcc1753ceca0801336c03659,24.2,25.45,1,-1
1day,49,b115f80e75e406b903611bfe31,25.9333,48.35,1,-1
1day,50,b3dd062dca61030685cc8861d9,24.3833,24,-1,-1
1day,51,c398d2a3b39b13cbae6f333cd9,24.0833,26.4167,1,-1
1day,52,c399b53db4f6eed45daa4700a9,47.3,29.9833,-1,-1
1day,53,cb84810840983b63113512ccff,24.8,24.15,-1,-1
1day,54,d36c31b051f712988d8262e88c,43.8,69.15,-1,-1
1day,55,d39d9580ea10f893a1ca6907e3,24.1833,25.7167,-1,-1
1day,56,d5816cf0403d87c626a76f9722,24.9167,24.0167,1,1
1day,57,d5e9ac4b126511d35e6f330386,24.7,24,-1,-1
1day,58,db39388c027fc0159fd50d3895,25.0333,24,-1,1
1day,59,db5e51bec2833bf96da02cd932,25.8833,35.7833,1,-1
1day,60,deb29eb6e50a28c80a22182b2a,24.1667,28.4,-1,-1
1day,61,df00534f0cef0a13bf10ba84ec,24.1,24,1,1
1day,62,e42bc341a05e0a4e12447aa6ba,37.5667,24.3167,-1,-1
1day,63,ebb38bcff80fca39d0d5ef46b6,24.25,27,-1,1
1day,64,ec5f6438e8bc23de6fbac93ef1,24.0167,25.55,-1,1
1day,65,f18f293e5b9b0007edf56cd19b,24,24.15,1,-1
1day,66,f2860ddd94577508ffb340f342,33.2167,24.4,-1,1
1day,67,f390ff4719ad406d4c1bec6dd5,24.1667,24.1,-1,1
