timeCondition,subj_idx,ID,hourDiff21,hourDiff32,manipHor,manipVer
1month,0,04cd36a729e756e70504a7c051,32.4333,694.0333,-1,-1
1month,1,0575109a8e9b0833ec7081b593,38.6333,779.9667,-1,-1
1month,2,05dac23aa8af4ed9e62254892b,36.6167,673.8167,1,-1
1month,3,0d5018366ef13dded060af920f,24.4833,696.1667,-1,-1
1month,4,0d90c6da0fab08ed79c68455ca,24,813.4833,1,1
1month,5,0dc6b31cee2572c17836ea0d66,24.0667,696.4,-1,1
1month,6,137585d5f4ed3fd2967c5a756b,28.2833,673.9667,1,-1
1month,7,142c98ef3ce90413119b3cd9c0,24.0167,694.2,-1,-1
1month,8,15b8c5492a15b5802089c66512,24.0833,703.25,-1,-1
1month,9,1c424ff25d7601e46f68d7a1d9,24.5167,682.65,-1,1
1month,10,1cb6ce568d14a6e3417ed809f5,24.5833,676.6,-1,1
1month,11,1e5912f0934c722300e822a97c,27.0167,773.2,1,1
1month,12,21df58da1e052a64e56b3271c2,24.0667,695.7833,1,1
1month,13,22478ab082baea8d5f1441154c,26.6833,674.5667,1,1
1month,14,22d1971a7782e6cd86b6ce140d,25.05,674.7,-1,1
1month,15,25f40610a74836f8446c14a1e5,46.3333,676.8833,1,1
1month,16,2f61aee9baf5d1eb53b20f8afa,24.0167,695.9167,-1,1
1month,17,34628b43330fb031e22bf3abd2,25.25,751.9667,1,-1
1month,18,357e1395c9f8a0480d65f11c45,24.0333,682.2333,-1,-1
1month,19,376673d614b79e648251e92f2d,24.1167,674.55,1,-1
1month,20,39b0e17dd1b661980c9605b510,31.5167,695.9833,-1,1
1month,21,3cab4b82fe1091e64a54d99482,33.5667,672.3167,-1,1
1month,22,3fb16417a941d84ac0771fd51d,24.5667,696.0333,-1,1
1month,23,3fde78fc4d5350019642a2bba4,25.3167,696.5,1,-1
1month,24,41a35fefdb5ea5954d2634d547,24.05,679.9667,-1,1
1month,25,41ca3e36597959584780d07b53,24.0167,680.9833,1,-1
1month,26,43c1081812f74ecb7cb9fcf449,24.15,695.6167,-1,-1
1month,27,49fa9dc2cc76886500f96902e7,24.0833,726.6167,-1,-1
1month,28,4c6c6a8d7d2c2c9edcfea1b272,26.3833,700.9333,-1,-1
1month,29,566225971a57964736615b6204,24.3333,677.1667,-1,-1
1month,30,588814cbf048016a0a6052f159,27,672.4667,1,-1
1month,31,5c26e7e56b4eca6e0d988433f1,24.0167,677.7667,1,1
1month,32,6541eddd0f4367e79a818a7f4e,24.0167,787.2833,1,1
1month,33,6639b79e93cfc7825e1773e820,26.85,675.5,-1,1
1month,34,6cd94ea1faf195c8122abb0982,24.2667,677.9833,-1,1
1month,35,7515391f182c6b5c3e94445cd6,51.8667,681.3833,1,1
1month,36,78434e196a173802c3a98c571f,31.5667,687.25,1,-1
1month,37,81dab5a0550c1250a256ba61c3,24.1167,676.6333,1,1
1month,38,8d028323d4b796edeeaca0e6ec,24.05,682.7167,1,-1
1month,39,9262b3898822f2007d25e327b3,46.65,695.8667,1,1
1month,40,934d160707d3c8945a294629d2,27.5,672.5167,1,-1
1month,41,97beca1de9bb9b408e3ca19331,32.9667,746.9333,-1,-1
1month,42,9ae1392e35f82d048d9e957e68,46.6833,672.0333,-1,1
1month,43,9d18e1e72fecf153954ecab28b,24.1,677.4833,-1,1
1month,44,a09ea722f8aab70f5768463224,33.1167,673.9333,1,-1
1month,45,a268e6f22095e7010e1c6291c8,24.9333,717.4,-1,1
1month,46,a4c8ce133aad8177bbbee9e297,24.1,790.7,-1,-1
1month,47,a5e146fd8f6f9f10e95f79c6f7,24.3167,677.4,1,-1
1month,48,a846d651e1b95df882976c7aef,24.1,680.0167,1,1
1month,49,b489aa7907dcc9e277e073c7c8,27.4,690.55,1,-1
1month,50,b81ba74f712eaa8aafe22dd099,24.3833,694.0667,-1,-1
1month,51,bbaf431a68ad18361ab79e204f,44.65,706,1,1
1month,52,bbd08931dabce5816e8d3830cd,24,677.7833,1,-1
1month,53,bfc1b7e92a83bdb3f72b603696,24.0833,678.05,-1,-1
1month,54,c22bad3c77d1af68cb233acafa,24.0167,677.2,-1,-1
1month,55,d55ac272b44534141009cb2168,24.0333,694.55,1,1
1month,56,d8db85a57f2fe1b9742184f562,24.0167,677.4167,1,1
1month,57,dcb141a9677e6ed40191e5a429,26.5,700.4833,-1,1
1month,58,e3f4edfec96ce01338325fd518,24.1333,677.9333,-1,1
1month,59,e886d4ffe68ca654ef2fbbf180,29.8,672.4667,1,1
1month,60,e8a4de2e7baa8091657589201b,24.0667,678.3,1,1
1month,61,ec3359267e1d5aec948e4577c8,24.1,676.7833,-1,1
1month,62,f0ae396e839dbbe9412442456b,24.0167,695.1667,-1,-1
1month,63,f9ef2fde74ae99e11ba6e4c42c,36.2833,731.8167,1,1
1month,64,fac3f08b4cf5670665396ee51c,24,674.95,1,-1
1month,65,fd8898d4c95cfa262dedcbb0aa,32.2333,685.1833,1,-1
1month,66,fdd4a5078dabb5326614ff841f,24.2667,680.2,1,-1
1month,67,fe18c7827a54609333b7331ef4,26.25,675.5333,1,1
