timeCondition,subj_idx,ID,hourDiff21
day,0,063ad4117feb47e7b3f458ae7d,25.9
day,1,080f2a025645607050ba3ab667,26.7
day,2,0d33a47950135c84f166a83cb2,37.6333
day,3,0f180d7086f44389782977b606,23.5833
day,4,1862a34012fc5f9e00eb9231e8,24
day,5,1d1bada43dcf78eecf4375e62e,27.0333
day,6,1fd635b71057ae3feb67bf636b,23.7833
day,7,2479d6af0c76ed4e65607bb55b,24.85
day,8,33aa0dfcc942b539a16385e5a1,25.05
day,9,378a007628ca43d2a6d8ba7d3e,24.5667
day,10,40618b7187caed90d5b8fa87ee,29.75
day,11,47c511495fcbf2c1368fc2f38e,42.8833
day,12,50ba2384ca3474035122271020,23.6167
day,13,54730f967176827c078b613ada,24
day,14,6aaa2ae52d45c03472da71d5a2,32.6333
day,15,6b9863033a611e394282337672,24.4333
day,16,6dc34178c07bf07861a296ba5d,24.8333
day,17,6f3496d1ff0c9e5c75b85243f3,23.4333
day,18,74abcccb583e20440dfcfd54f7,24.1167
day,19,890c09650188745b7db0ebaa7d,25.55
day,20,9418da80816d24ea83d8593930,27.6833
day,21,949bfc48a52afb8a43be2dfa5b,23.8667
day,22,978e1021a66e06c5d31f7ca17d,24.1
day,23,98414bdadebc6ca33c6ced88d2,24.0333
day,24,a70b13236df36cba907ee10c24,23.8167
day,25,b267850ee7d43bd9dee6f48630,23.0833
day,26,c2529fbe2793bd20415dca21eb,27.5333
day,27,cb5a7c0b1f4acac3bd6e2e85b7,25.6667
day,28,d3fb6d5813cad5f5bd686a5f7f,26.4167
day,29,db7ac191669d7692ee2b9fd015,24.35
day,30,e18a90b0f6382958b033f3e77f,25.3667
day,31,fd0c503bc09e235e7c7431fe45,27.35
