timeCondition,subj_idx,ID,hourDiff21
hour,0,12cb2930f1f85b91daf5dd9158,1.3333
hour,1,18bc027a7a6fff87c682abee9e,1.75
hour,2,1cbf00df814c25488872c9bf55,1.6333
hour,3,2063bee17ae2f5fc9872d8106e,2.0167
hour,4,2a591bd9c9f55cac2f9921da72,0.8333
hour,5,2d79977e55bf0e8c904f74b201,0.5
hour,6,3269e701d5be2f9fd8983855de,2.1
hour,7,382c27adf2b3d54c92935aeab9,1.1167
hour,8,465a50357c36f92c405b51286a,1.4833
hour,9,4893f95db3cbbad260234df85a,1.7167
hour,10,4f430333a0c883ffe1ba00a2e8,2.1167
hour,11,5b2b1e0fd150e53333a00ba351,2.3333
hour,12,6a52ff368c8d2a65d4b445d996,2.05
hour,13,7acc21d8044dc6189c4e5b660b,0.3167
hour,14,825385ba82f73ddff6533cdb19,0.4667
hour,15,8ca821a82dd8cb12744cd87a3a,1.2
hour,16,8fc5579e3dae9073b70090f61d,2
hour,17,935d1a4db40713e0aa4284dc2b,0.45
hour,18,9ca789acd7b97dd1e52b479823,2.0167
hour,19,a1e9a4c5ebcb0e55232064714f,2.4167
hour,20,a8ac77e8f4bedfb2b8d0063dd6,2.3
hour,21,b5389947ca6ee4bbd91509a93a,1.9833
hour,22,c38e79f1f1c223f7401922d2ab,2
hour,23,cc76957f7c4a6a9a889a414ef2,2.15
hour,24,da426bf92aba0c40fc14c33420,1.8
hour,25,e5e2c6b8bb3a0e5e386cc0c0ae,2
hour,26,e7a9cbd61454973f85cc442e31,2.5667
hour,27,eb30cd68ca6eaa05519117183b,2.45
hour,28,ee00049b0e05573be9ee650f8e,2.4667
