timeCondition,subj_idx,ID,hourDiff21
month,0,05fb1d1f12a54ed2232e95d453,648.65
month,1,12aee48c0c7bbc22cd2b56f302,656.9
month,2,1668811545bfad8e954f0edf95,669.05
month,3,18d2c4a7e6582e02ee4b26d94d,650.15
month,4,19cdb46df9134d5ba4192e2c9c,671.5
month,5,1f39fa4c901b126870323b003d,650.2167
month,6,21f0d85a3b29879a17369a1ddf,765.1333
month,7,2ee452dc5caefdc6d3a465c283,661.8
month,8,30826ee95780ce100679e0391a,693.9833
month,9,3172bee9ec00f683e9a0f0162a,648.5833
month,10,3ccbd890a8757c751bef075826,671.0167
month,11,420a8f9dc56b7d37dd59197f2b,648.0667
month,12,5c8013244f660a9cca2b2aed91,664.0667
month,13,6240f6f5ca4370364e233f707e,650.3333
month,14,656ceb444a44b3edd902137173,671.2833
month,15,67b05cb4b0d73e5273524f461e,709.35
month,16,7afd39707db16bdcaaac2e0e4d,651.8167
month,17,7b75f23a236442d44785dcc8c8,710.4667
month,18,7c222ab8bcd3fe4ba491f05f3b,719.6333
month,19,80dc243dfef4b85eb45655d2cc,659.1333
month,20,814c7211473a369422bfa17e38,656
month,21,878b546dd0d17baffc568ddec5,655.8
month,22,8b9b2ad222421a2a21559d0bf1,652.2
month,23,a3bd2194f03cc0f0783847a32d,651.4167
month,24,a5c596e2e0eb48fac79adf507e,649.0667
month,25,a8df087f1f54f4d575438c8561,663.5833
month,26,bdfb6764b223b4caf7a3437303,670.1
month,27,c50ffcac3bebf25bd0a966cbb8,664.4
month,28,c9818114a12ef6e1c39a48a41e,647.85
month,29,d2ed11c840c4b70cf73446f201,686.25
month,30,e2a8f4b7b373c46ca1a4f59d70,766.4
month,31,ed07ff111c2fba78986e8125b4,660.1167
month,32,f372116b4b0102b70f8a9a3505,648.2667
