timeCondition,subj_idx,ID,hourDiff21
years,0,063ad4117feb47e7b3f458ae7d,25.9
years,1,0d33a47950135c84f166a83cb2,37.6333
years,2,0eea83eef6e7e21ba9a3092a9d,159.3167
years,3,12cb2930f1f85b91daf5dd9158,1.3333
years,4,1e27569c5dccc81744d001f051,144.0167
years,5,324b259613a52db19f5631b84b,157.5167
years,6,378a007628ca43d2a6d8ba7d3e,24.5667
years,7,3b675a8db98f4533791cd3dabe,166.5
years,8,3c9d5956f61b5ffad47452846f,145.1
years,9,40618b7187caed90d5b8fa87ee,29.75
years,10,465a50357c36f92c405b51286a,1.4833
years,11,54730f967176827c078b613ada,24
years,12,6b9863033a611e394282337672,24.4333
years,13,878185fe46c6898dd49c7b2a73,146.7333
years,14,885060b35c54d36722f9c3198d,155.65
years,15,935d1a4db40713e0aa4284dc2b,0.45
years,16,949bfc48a52afb8a43be2dfa5b,23.8667
years,17,98414bdadebc6ca33c6ced88d2,24.0333
years,18,9ca789acd7b97dd1e52b479823,2.0167
years,19,a70b13236df36cba907ee10c24,23.8167
years,20,c38e79f1f1c223f7401922d2ab,2
years,21,c64a5435ad376b4a8ce3e7d77f,171.05
years,22,cb5a7c0b1f4acac3bd6e2e85b7,25.6667
years,23,cc76957f7c4a6a9a889a414ef2,2.15
years,24,e18a90b0f6382958b033f3e77f,25.3667
years,25,e5e2c6b8bb3a0e5e386cc0c0ae,2
years,26,e7a9cbd61454973f85cc442e31,2.5667
years,27,ee00049b0e05573be9ee650f8e,2.4667
years,28,f7c0efeaef25b271c80af4a8ea,190.8167
