ID,endDate,startDate,didSess3,hourDiff21,hourDiffPrev,session,task,dev,trialNum,rt,response,subj_idx,timeCondition
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Horizontal,10,1,1.179,1,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Horizontal,-6,2,0.978,0,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Horizontal,-10,3,0.57,0,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Vertical,-4,4,2.692,1,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Vertical,10,5,0.761,1,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Vertical,-10,6,1.253,0,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Horizontal,0,7,1.34,0,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Horizontal,-4,8,0.851,0,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Horizontal,-2,9,0.972,0,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Vertical,2,10,0.823,1,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Vertical,-4,11,1.492,1,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Vertical,6,12,0.686,1,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Horizontal,0,13,0.511,1,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Horizontal,-2,14,0.893,0,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Horizontal,10,15,0.513,1,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Vertical,0,16,0.965,1,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Vertical,2,17,1.404,1,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Vertical,-10,18,0.595,0,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Horizontal,4,19,1.001,1,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Horizontal,-8,20,0.486,0,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Horizontal,4,21,0.555,1,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Vertical,6,22,0.675,1,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Vertical,10,23,0.514,1,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Vertical,-2,24,0.595,0,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Horizontal,0,25,0.697,0,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Horizontal,4,26,0.562,1,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Horizontal,-4,27,0.532,0,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Vertical,0,28,0.718,1,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Vertical,-2,29,0.663,0,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Vertical,4,30,0.488,1,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Horizontal,-8,31,0.658,0,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Horizontal,-8,32,0.466,0,0,years
063ad4117feb47e7b3f458ae7d,7/26/2019 16:09,7/27/2019 18:04,1,25.9,25.9,1,Horizontal,6,33,0.533,1,0,years
